"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","370","Создание заказа с неверным хешем ингредиентов","tests","2026-09-25","passed","2026-09-25","TestCreatingOrder","test_creating_order","",""
"","380","вход с неверным логином и паролем","tests","2026-09-25","passed","2026-09-25","TestLogin","test_login","",""
"","365","Создание заказа без ингредиентов","tests","2026-09-25","passed","2026-09-25","TestCreatingOrder","test_creating_order","",""
"","371","Создание заказа без авторизации","tests","2026-09-25","passed","2026-09-25","TestCreatingOrder","test_creating_order","",""
"","385","создать пользователя и не заполнить одно из обязательных полей","tests","2026-09-25","passed","2026-09-25","TestCreateUser","test_create_user","",""
"","453","вход под существующим пользователем","tests","2026-09-25","passed","2026-09-25","TestLogin","test_login","",""
"","394","создать пользователя и не заполнить одно из обязательных полей","tests","2026-09-25","passed","2026-09-25","TestCreateUser","test_create_user","",""
"","4189","Создание заказа с авторизацией","tests","2026-09-25","passed","2026-09-25","TestCreatingOrder","test_creating_order","",""
"","368","вход с неверным логином и паролем","tests","2026-09-25","passed","2026-09-25","TestLogin","test_login","",""
"","618","создать пользователя, который уже зарегистрирован","tests","2026-09-25","passed","2026-09-25","TestCreateUser","test_create_user","",""
"","0","Создать уникального пользователя","tests","2026-09-25","passed","2026-09-25","TestCreateUser","test_create_user","",""
"","403","создать пользователя и не заполнить одно из обязательных полей","tests","2026-09-25","passed","2026-09-25","TestCreateUser","test_create_user","",""
"","448","вход с неверным логином и паролем","tests","2026-09-25","passed","2026-09-25","TestLogin","test_login","",""
"","377","Создание заказа с ингредиентами","tests","2026-09-25","passed","2026-09-25","TestCreatingOrder","test_creating_order","",""
"","480","создать пользователя и не заполнить одно из обязательных полей","tests","2026-09-25","passed","2026-09-25","TestCreateUser","test_create_user","",""
"","375","создать пользователя и не заполнить одно из обязательных полей","tests","2026-09-25","passed","2026-09-25","TestCreateUser","test_create_user","",""
"","377","создать пользователя и не заполнить одно из обязательных полей","tests","2026-09-25","passed","2026-09-25","TestCreateUser","test_create_user","",""
